         2636495 function calls (2508677 primitive calls) in 34.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1240    0.002    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       11    0.000    0.000    0.044    0.004 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/library.py:171(_register_fake)
        1    0.000    0.000    0.043    0.043 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/tensor/_dtensor_spec.py:1(<module>)
       16    0.000    0.000    0.042    0.003 <frozen importlib._bootstrap_external>:1318(create_module)
       11    0.000    0.000    0.042    0.004 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_library/fake_impl.py:19(register)
       25    0.001    0.000    0.042    0.002 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/library.py:119(define)
        1    0.000    0.000    0.042    0.042 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/tensor/placement_types.py:1(<module>)
       16    0.040    0.003    0.042    0.003 {built-in method _imp.create_dynamic}
       16    0.000    0.000    0.041    0.003 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:1052(findsource)
        1    0.000    0.000    0.041    0.041 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/pjit.py:1(<module>)
       11    0.000    0.000    0.041    0.004 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_library/utils.py:44(get_source)
       11    0.000    0.000    0.041    0.004 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:1659(getframeinfo)
        1    0.000    0.000    0.040    0.040 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/utils.py:1(<module>)
     1475    0.007    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
